year day bgsex bgsey bgsez
2019 48 3.939 1.563 -0.507
2019 48 3.940 1.541 -0.304
2019 48 3.936 1.551 -0.220
2019 48 3.986 1.388 0.036
2019 48 4.003 1.421 -0.108
2019 48 4.054 1.470 -0.177
2019 48 3.987 1.616 -0.246
2019 48 3.869 1.879 -0.063
2019 48 3.810 1.968 0.009
2019 48 3.856 1.981 -0.052
2019 48 3.844 1.990 -0.129
2019 48 3.871 2.189 -0.328
2019 48 3.890 2.323 -0.513
2019 48 4.027 2.200 -0.167
2019 48 4.020 2.196 -0.204
2019 48 4.039 2.155 -0.100
2019 48 4.064 2.135 -0.171
2019 48 4.092 2.104 -0.203
2019 48 4.043 2.197 -0.275
2019 48 3.913 2.259 0.008
2019 48 3.972 2.092 0.141
2019 48 4.013 2.226 -0.159
2019 48 4.018 2.178 -0.472
2019 48 4.082 2.119 -0.514
2019 48 4.165 1.697 -0.546
2019 48 4.034 1.997 -0.454
2019 48 3.923 2.112 -0.531
2019 48 3.948 2.221 -0.400
2019 48 3.774 2.460 -0.163
2019 48 3.748 2.461 -0.038
2019 48 3.375 2.788 0.657
2019 48 3.492 2.747 0.534
2019 48 3.546 2.660 0.549
2019 48 3.483 2.633 0.477
2019 48 3.486 2.648 0.456
2019 48 3.541 2.717 0.503
2019 48 3.630 2.669 0.491
2019 48 3.605 2.740 0.509
2019 48 3.604 2.710 0.471
2019 48 3.568 2.747 0.380
2019 48 3.477 2.794 0.257
2019 48 3.551 2.796 0.183
2019 48 3.525 2.752 0.021
2019 48 3.533 2.786 -0.011
2019 48 3.539 2.796 0.067
2019 48 3.533 2.760 0.070
2019 48 3.520 2.694 -0.068
2019 48 3.614 2.858 -0.077
2019 48 3.626 2.804 0.166
2019 48 3.556 2.844 0.262
2019 48 3.545 2.929 0.163
2019 48 3.567 2.993 -0.065
2019 48 3.595 2.924 0.253
2019 48 3.636 2.812 0.199
2019 48 3.623 2.741 0.416
2019 48 3.782 2.594 0.380
2019 48 3.682 2.695 0.238
2019 48 3.741 2.667 0.437
2019 48 3.723 2.683 0.530
2019 48 3.781 2.729 0.201
2019 48 3.919 2.688 0.193
2019 48 3.978 2.639 0.095
2019 48 3.962 2.693 0.104
2019 48 4.014 2.595 -0.006
2019 48 4.010 2.571 -0.054
2019 48 3.777 2.775 -0.266
2019 48 3.540 2.939 0.492
2019 48 3.571 2.939 0.885
2019 48 3.549 2.773 0.210
2019 48 3.585 2.708 0.154
2019 48 3.679 2.680 0.180
2019 48 3.674 2.771 0.208
2019 48 3.767 2.499 -0.094
2019 48 4.069 2.168 -0.298
2019 48 4.097 2.110 -0.248
